left_gate,left_orientation,right_gate,right_orientation,gap,placement_axis,pair_key
AND2,MY,WORDLINEDRIVER,R180,0.0025,horizontal,AND2|MY|WORDLINEDRIVER|R180|0.0025|horizontal
AND2,MY,WORDLINEDRIVER,R180,0.07,horizontal,AND2|MY|WORDLINEDRIVER|R180|0.07|horizontal
AND2,MY,WORDLINEDRIVER,R180,0.14,horizontal,AND2|MY|WORDLINEDRIVER|R180|0.14|horizontal
AND2,R0,AND2,MX,0.0,horizontal,AND2|R0|AND2|MX|0.0|horizontal
AND2,R0,AND2,MX,0.0025,horizontal,AND2|R0|AND2|MX|0.0025|horizontal
AND2,R0,AND2,MX,0.07,horizontal,AND2|R0|AND2|MX|0.07|horizontal
AND2,R0,AND2,MX,0.14,horizontal,AND2|R0|AND2|MX|0.14|horizontal
AND2,R0,AND2,MY,0.0,horizontal,AND2|R0|AND2|MY|0.0|horizontal
AND2,R0,AND2,MY,0.0025,horizontal,AND2|R0|AND2|MY|0.0025|horizontal
AND2,R0,AND2,MY,0.07,horizontal,AND2|R0|AND2|MY|0.07|horizontal
AND2,R0,AND2,MY,0.14,horizontal,AND2|R0|AND2|MY|0.14|horizontal
AND2,R0,AND2,R0,0.0,horizontal,AND2|R0|AND2|R0|0.0|horizontal
AND2,R0,AND2,R0,0.0025,horizontal,AND2|R0|AND2|R0|0.0025|horizontal
AND2,R0,AND2,R0,0.07,horizontal,AND2|R0|AND2|R0|0.07|horizontal
AND2,R0,AND2,R0,0.14,horizontal,AND2|R0|AND2|R0|0.14|horizontal
AND2,R0,AND2,R180,0.0,horizontal,AND2|R0|AND2|R180|0.0|horizontal
AND2,R0,AND2,R180,0.0025,horizontal,AND2|R0|AND2|R180|0.0025|horizontal
AND2,R0,AND2,R180,0.07,horizontal,AND2|R0|AND2|R180|0.07|horizontal
AND2,R0,AND2,R180,0.14,horizontal,AND2|R0|AND2|R180|0.14|horizontal
AND2,R0,AND3,MX,0.0,horizontal,AND2|R0|AND3|MX|0.0|horizontal
AND2,R0,AND3,MX,0.0025,horizontal,AND2|R0|AND3|MX|0.0025|horizontal
AND2,R0,AND3,MX,0.07,horizontal,AND2|R0|AND3|MX|0.07|horizontal
AND2,R0,AND3,MX,0.14,horizontal,AND2|R0|AND3|MX|0.14|horizontal
AND2,R0,AND3,MY,0.0,horizontal,AND2|R0|AND3|MY|0.0|horizontal
AND2,R0,AND3,MY,0.0025,horizontal,AND2|R0|AND3|MY|0.0025|horizontal
AND2,R0,AND3,MY,0.07,horizontal,AND2|R0|AND3|MY|0.07|horizontal
AND2,R0,AND3,MY,0.14,horizontal,AND2|R0|AND3|MY|0.14|horizontal
AND2,R0,AND3,R0,0.0,horizontal,AND2|R0|AND3|R0|0.0|horizontal
AND2,R0,AND3,R0,0.0025,horizontal,AND2|R0|AND3|R0|0.0025|horizontal
AND2,R0,AND3,R0,0.07,horizontal,AND2|R0|AND3|R0|0.07|horizontal
AND2,R0,AND3,R0,0.14,horizontal,AND2|R0|AND3|R0|0.14|horizontal
AND2,R0,AND3,R180,0.0,horizontal,AND2|R0|AND3|R180|0.0|horizontal
AND2,R0,AND3,R180,0.0025,horizontal,AND2|R0|AND3|R180|0.0025|horizontal
AND2,R0,AND3,R180,0.07,horizontal,AND2|R0|AND3|R180|0.07|horizontal
AND2,R0,AND3,R180,0.14,horizontal,AND2|R0|AND3|R180|0.14|horizontal
AND2,R0,PINV,MX,0.0,horizontal,AND2|R0|PINV|MX|0.0|horizontal
AND2,R0,PINV,MX,0.0025,horizontal,AND2|R0|PINV|MX|0.0025|horizontal
AND2,R0,PINV,MX,0.07,horizontal,AND2|R0|PINV|MX|0.07|horizontal
AND2,R0,PINV,MX,0.14,horizontal,AND2|R0|PINV|MX|0.14|horizontal
AND2,R0,PINV,MY,0.0,horizontal,AND2|R0|PINV|MY|0.0|horizontal
AND2,R0,PINV,MY,0.0025,horizontal,AND2|R0|PINV|MY|0.0025|horizontal
AND2,R0,PINV,MY,0.07,horizontal,AND2|R0|PINV|MY|0.07|horizontal
AND2,R0,PINV,MY,0.14,horizontal,AND2|R0|PINV|MY|0.14|horizontal
AND2,R0,PINV,R0,0.0,horizontal,AND2|R0|PINV|R0|0.0|horizontal
AND2,R0,PINV,R0,0.0025,horizontal,AND2|R0|PINV|R0|0.0025|horizontal
AND2,R0,PINV,R0,0.07,horizontal,AND2|R0|PINV|R0|0.07|horizontal
AND2,R0,PINV,R0,0.14,horizontal,AND2|R0|PINV|R0|0.14|horizontal
AND2,R0,PINV,R180,0.0,horizontal,AND2|R0|PINV|R180|0.0|horizontal
AND2,R0,PINV,R180,0.0025,horizontal,AND2|R0|PINV|R180|0.0025|horizontal
AND2,R0,PINV,R180,0.07,horizontal,AND2|R0|PINV|R180|0.07|horizontal
AND2,R0,PINV,R180,0.14,horizontal,AND2|R0|PINV|R180|0.14|horizontal
AND2,R0,PNAND2,MX,0.0,horizontal,AND2|R0|PNAND2|MX|0.0|horizontal
AND2,R0,PNAND2,MX,0.0025,horizontal,AND2|R0|PNAND2|MX|0.0025|horizontal
AND2,R0,PNAND2,MX,0.07,horizontal,AND2|R0|PNAND2|MX|0.07|horizontal
AND2,R0,PNAND2,MX,0.14,horizontal,AND2|R0|PNAND2|MX|0.14|horizontal
AND2,R0,PNAND2,MY,0.0,horizontal,AND2|R0|PNAND2|MY|0.0|horizontal
AND2,R0,PNAND2,MY,0.0025,horizontal,AND2|R0|PNAND2|MY|0.0025|horizontal
AND2,R0,PNAND2,MY,0.07,horizontal,AND2|R0|PNAND2|MY|0.07|horizontal
AND2,R0,PNAND2,MY,0.14,horizontal,AND2|R0|PNAND2|MY|0.14|horizontal
AND2,R0,PNAND2,R0,0.0,horizontal,AND2|R0|PNAND2|R0|0.0|horizontal
AND2,R0,PNAND2,R0,0.0025,horizontal,AND2|R0|PNAND2|R0|0.0025|horizontal
AND2,R0,PNAND2,R0,0.07,horizontal,AND2|R0|PNAND2|R0|0.07|horizontal
AND2,R0,PNAND2,R0,0.14,horizontal,AND2|R0|PNAND2|R0|0.14|horizontal
AND2,R0,PNAND2,R180,0.0,horizontal,AND2|R0|PNAND2|R180|0.0|horizontal
AND2,R0,PNAND2,R180,0.0025,horizontal,AND2|R0|PNAND2|R180|0.0025|horizontal
AND2,R0,PNAND2,R180,0.07,horizontal,AND2|R0|PNAND2|R180|0.07|horizontal
AND2,R0,PNAND2,R180,0.14,horizontal,AND2|R0|PNAND2|R180|0.14|horizontal
AND2,R0,PNAND3,MX,0.0,horizontal,AND2|R0|PNAND3|MX|0.0|horizontal
AND2,R0,PNAND3,MX,0.0025,horizontal,AND2|R0|PNAND3|MX|0.0025|horizontal
AND2,R0,PNAND3,MX,0.07,horizontal,AND2|R0|PNAND3|MX|0.07|horizontal
AND2,R0,PNAND3,MX,0.14,horizontal,AND2|R0|PNAND3|MX|0.14|horizontal
AND2,R0,PNAND3,MY,0.0,horizontal,AND2|R0|PNAND3|MY|0.0|horizontal
AND2,R0,PNAND3,MY,0.0025,horizontal,AND2|R0|PNAND3|MY|0.0025|horizontal
AND2,R0,PNAND3,MY,0.07,horizontal,AND2|R0|PNAND3|MY|0.07|horizontal
AND2,R0,PNAND3,MY,0.14,horizontal,AND2|R0|PNAND3|MY|0.14|horizontal
AND2,R0,PNAND3,R0,0.0,horizontal,AND2|R0|PNAND3|R0|0.0|horizontal
AND2,R0,PNAND3,R0,0.0025,horizontal,AND2|R0|PNAND3|R0|0.0025|horizontal
AND2,R0,PNAND3,R0,0.07,horizontal,AND2|R0|PNAND3|R0|0.07|horizontal
AND2,R0,PNAND3,R0,0.14,horizontal,AND2|R0|PNAND3|R0|0.14|horizontal
AND2,R0,PNAND3,R180,0.0,horizontal,AND2|R0|PNAND3|R180|0.0|horizontal
AND2,R0,PNAND3,R180,0.0025,horizontal,AND2|R0|PNAND3|R180|0.0025|horizontal
AND2,R0,PNAND3,R180,0.07,horizontal,AND2|R0|PNAND3|R180|0.07|horizontal
AND2,R0,PNAND3,R180,0.14,horizontal,AND2|R0|PNAND3|R180|0.14|horizontal
AND2,R0,WORDLINEDRIVER,MX,0.0,horizontal,AND2|R0|WORDLINEDRIVER|MX|0.0|horizontal
AND2,R0,WORDLINEDRIVER,MX,0.0025,horizontal,AND2|R0|WORDLINEDRIVER|MX|0.0025|horizontal
AND2,R0,WORDLINEDRIVER,MX,0.07,horizontal,AND2|R0|WORDLINEDRIVER|MX|0.07|horizontal
AND2,R0,WORDLINEDRIVER,MX,0.14,horizontal,AND2|R0|WORDLINEDRIVER|MX|0.14|horizontal
