shape_id,shape_layer,shape_bbox,owner,net,route_id,segment_key
m1_1781,m1,"[11.3175, 1.525, 11.3825, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1781,m1,"[11.3175, 1.525, 11.3825, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_185,m1,"[118.4625, 11.67, 121.4375, 11.805]",PARENT_INTEGRATION_ROUTER,WL7,WL7,dest_bbox
m1_185,m1,"[118.4625, 11.67, 121.4375, 11.805]",PARENT_INTEGRATION_ROUTER,WL7,WL7,dest_m1_horizontal_bbox
m1_186,m1,"[84.32, 0.83, 84.455, 0.965]",PARENT_INTEGRATION_ROUTER,WL8,WL8,source_bbox
m1_186,m1,"[84.32, 0.83, 84.455, 0.965]",PARENT_INTEGRATION_ROUTER,WL8,WL8,source_m1_landing_bbox
m1_186,m1,"[84.32, 0.83, 84.455, 0.965]",TOP_PIN,WL8,TOP_PIN::WL8,top_pin_bbox
m1_1923,m1,"[12.1525, 1.82, 12.84, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1923,m1,"[12.1525, 1.82, 12.84, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1924,m1,"[12.1525, 0.0, 12.84, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1924,m1,"[12.1525, 0.0, 12.84, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1925,m1,"[12.63, 1.6825, 12.695, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1925,m1,"[12.63, 1.6825, 12.695, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_1926,m1,"[12.63, 0.0325, 12.695, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1926,m1,"[12.63, 0.0325, 12.695, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1934,m1,"[12.245, 0.0, 12.31, 0.135]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_1934,m1,"[12.245, 0.0, 12.31, 0.135]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_1935,m1,"[12.245, 1.525, 12.31, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_1935,m1,"[12.245, 1.525, 12.31, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_196,m1,"[118.4625, 13.235, 121.1575, 13.37]",PARENT_INTEGRATION_ROUTER,WL8,WL8,dest_bbox
m1_196,m1,"[118.4625, 13.235, 121.1575, 13.37]",PARENT_INTEGRATION_ROUTER,WL8,WL8,dest_m1_horizontal_bbox
m1_197,m1,"[88.285, 0.83, 88.42, 0.965]",PARENT_INTEGRATION_ROUTER,WL9,WL9,source_bbox
m1_197,m1,"[88.285, 0.83, 88.42, 0.965]",PARENT_INTEGRATION_ROUTER,WL9,WL9,source_m1_landing_bbox
m1_197,m1,"[88.285, 0.83, 88.42, 0.965]",TOP_PIN,WL9,TOP_PIN::WL9,top_pin_bbox
m1_2,m1,"[-1.0175, 0.0, 0.4725, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2,m1,"[-1.0175, 0.0, 0.4725, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2000,m1,"[12.95, 1.82, 14.65, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2000,m1,"[12.95, 1.82, 14.65, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2001,m1,"[12.95, 0.0, 14.65, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2001,m1,"[12.95, 0.0, 14.65, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2013,m1,"[12.95, 1.82, 13.8525, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2013,m1,"[12.95, 1.82, 13.8525, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2014,m1,"[12.95, 0.0, 13.8525, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2014,m1,"[12.95, 0.0, 13.8525, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2015,m1,"[13.6425, 1.6825, 13.7075, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2015,m1,"[13.6425, 1.6825, 13.7075, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2016,m1,"[13.6425, 0.0325, 13.7075, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2016,m1,"[13.6425, 0.0325, 13.7075, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2025,m1,"[13.0425, 0.0, 13.1075, 0.18]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2025,m1,"[13.0425, 0.0, 13.1075, 0.18]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2026,m1,"[13.0425, 1.525, 13.1075, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2026,m1,"[13.0425, 1.525, 13.1075, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2027,m1,"[13.4725, 1.525, 13.5375, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2027,m1,"[13.4725, 1.525, 13.5375, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_207,m1,"[118.4625, 14.8, 120.8775, 14.935]",PARENT_INTEGRATION_ROUTER,WL9,WL9,dest_bbox
m1_207,m1,"[118.4625, 14.8, 120.8775, 14.935]",PARENT_INTEGRATION_ROUTER,WL9,WL9,dest_m1_horizontal_bbox
m1_208,m1,"[92.25, 0.83, 92.385, 0.965]",PARENT_INTEGRATION_ROUTER,WL10,WL10,source_bbox
m1_208,m1,"[92.25, 0.83, 92.385, 0.965]",PARENT_INTEGRATION_ROUTER,WL10,WL10,source_m1_landing_bbox
m1_208,m1,"[92.25, 0.83, 92.385, 0.965]",TOP_PIN,WL10,TOP_PIN::WL10,top_pin_bbox
m1_2138,m1,"[13.9625, 1.82, 14.65, 1.885]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2138,m1,"[13.9625, 1.82, 14.65, 1.885]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2139,m1,"[13.9625, 0.0, 14.65, 0.065]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2139,m1,"[13.9625, 0.0, 14.65, 0.065]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
m1_2140,m1,"[14.44, 1.6825, 14.505, 1.8525]",PARENT_INTEGRATION_ROUTER,array_interface_VDD,array_interface_VDD,source_bbox
m1_2140,m1,"[14.44, 1.6825, 14.505, 1.8525]",TOP_PIN,VDD,TOP_PIN::VDD,top_pin_bbox
m1_2141,m1,"[14.44, 0.0325, 14.505, 0.2025]",PARENT_INTEGRATION_ROUTER,array_interface_VSS,array_interface_VSS,source_bbox
m1_2141,m1,"[14.44, 0.0325, 14.505, 0.2025]",TOP_PIN,VSS,TOP_PIN::VSS,top_pin_bbox
