left_gate,left_orientation,right_gate,right_orientation,gap,power_rail_compatibility,boundary_DRC,Pin_obstruction,same_net_rail_stitching,foreign_net_risk,legal,reason,trial_gds_path,trial_gds_sha256,trial_lyrdb_path
PINV,R0,PNAND3,R180,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p0.gds,3b8a2eeacfe0c2453873584da9f4b3af42fa22caa8d3e19c516c53a62befdb93,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p0_drc/PAIR__PINV_R0__PNAND3_R180__g0p0.lyrdb
PINV,R0,PNAND3,R180,0.0025,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p0025.gds,a7f4c033b1f7bca64fc5163a58bdc08d15aa2549ac428223d9268ced50c8131d,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p0025_drc/PAIR__PINV_R0__PNAND3_R180__g0p0025.lyrdb
PINV,R0,PNAND3,R180,0.07,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p07.gds,da6ae85f461da9a302a0f6d83422ffafe8608eb595dc42903dd2fe7bad877990,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p07_drc/PAIR__PINV_R0__PNAND3_R180__g0p07.lyrdb
PINV,R0,PNAND3,R180,0.14,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p14.gds,1e865fd95da3b9ee0f7e12411401067c8b60bc6326944d100a60fd5aacb21fa9,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_R180__g0p14_drc/PAIR__PINV_R0__PNAND3_R180__g0p14.lyrdb
PINV,R0,PNAND3,MX,0.0,False,0,False,False,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p0.gds,3e5e4b46c802f5c03cdf781a5e9b02c1a397a665563283d917baff583b96d1e6,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p0_drc/PAIR__PINV_R0__PNAND3_MX__g0p0.lyrdb
PINV,R0,PNAND3,MX,0.0025,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p0025.gds,fd2e1ad71681902bf048007d5b9ed0dc05cd366521f6ece8798de074431796db,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p0025_drc/PAIR__PINV_R0__PNAND3_MX__g0p0025.lyrdb
PINV,R0,PNAND3,MX,0.07,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p07.gds,b0f4e9ebbc95ab92cc5b60b8b99d22ff96726f21a596a3492b91a03c2be1b896,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p07_drc/PAIR__PINV_R0__PNAND3_MX__g0p07.lyrdb
PINV,R0,PNAND3,MX,0.14,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p14.gds,54569b319ce8961beb38cefea07d3c418d10438012373f3fd81ca2e0f0b76949,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MX__g0p14_drc/PAIR__PINV_R0__PNAND3_MX__g0p14.lyrdb
PINV,R0,PNAND3,MY,0.0,True,58,False,True,True,False,drc_marker_count=58,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p0.gds,566e7925c08406a94ee1c856282f5e612e39a122f8d847f2403d60cb260215d6,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p0_drc/PAIR__PINV_R0__PNAND3_MY__g0p0.lyrdb
PINV,R0,PNAND3,MY,0.0025,True,55,False,True,True,False,drc_marker_count=55,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p0025.gds,15aced07302a9805eac9c5cb3897650c4f62d604e3b7db386d1ab323009cc5fa,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PNAND3_MY__g0p0025_drc/PAIR__PINV_R0__PNAND3_MY__g0p0025.lyrdb
