candidate_id,relative_path,size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,contains_complete_sram_top,candidate_score,mux_present,power_rail_overlap_positive_count,rail_stitch_visible,selection_reasons,selected_as_golden
GDS_075,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.debug.gds,386638,sram_4x32_wpr1_fd45,33,409,5566,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 5566}",True,34,True,62,True,filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_076,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.gds,339914,sram_4x32_wpr1_fd45,33,409,4851,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 4851}",True,94,True,62,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_077,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.integration.gds,171584,sram_4x32_wpr1_fd45,1,0,2667,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.5725, ""height"": 74.595, ""shape_count"": 2667}",True,-7,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_078,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.presentation.gds,332716,sram_4x32_wpr1_fd45,33,409,4851,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 4851}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_079,full_layout_collection/sram_4x32_wpr1/sram_4x32_wpr1_fd45.route_guides.gds,381066,sram_4x32_wpr1_fd45,33,409,5494,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 16.5725, ""y1"": 74.595, ""width"": 16.672500000000003, ""height"": 74.7, ""shape_count"": 5494}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: route_guides; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_080,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.architecture.gds,284826,sram_4x32_wpr2_fd45,33,338,4020,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 4020}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: architecture; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_081,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.complete.gds,317462,sram_4x32_wpr2_fd45,33,338,4545,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 4545}",True,134,True,30,True,filename contains complete; filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_082,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.debug.gds,323034,sram_4x32_wpr2_fd45,33,338,4617,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 4617}",True,34,True,30,True,filename contains final/full/top; filename contains sram; non-golden export class: debug; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_083,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.gds,279254,sram_4x32_wpr2_fd45,33,338,3948,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 3948}",True,94,True,30,True,filename contains final/full/top; filename contains sram; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_084,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.integration.gds,113792,sram_4x32_wpr2_fd45,1,0,1764,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.3925, ""height"": 47.015, ""shape_count"": 1764}",True,-12,False,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: integration; top cell looks like SRAM top,False
GDS_085,full_layout_collection/sram_4x32_wpr2/sram_4x32_wpr2_fd45.presentation.gds,272056,sram_4x32_wpr2_fd45,33,338,3948,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 19.3925, ""y1"": 47.015, ""width"": 19.4925, ""height"": 47.12, ""shape_count"": 3948}",True,34,True,,UNKNOWN,filename contains final/full/top; filename contains sram; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
