file_id,relative_path,file_type,extension,size_bytes
ZIP_0207,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.sp,design_artifact,.sp,11322
ZIP_0208,full_layout_collection/sram_2x16_wpr1/sram_2x16_wpr1_fd45.two_zone_repacking.svg,image,.svg,7352
ZIP_0209,full_layout_collection/sram_32x16_wpr1/.run.log,text_report,.log,3317028
ZIP_0210,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,7432
ZIP_0211,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.after_floorplan.svg,image,.svg,6405
ZIP_0212,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.architecture.gds,gds,.gds,356462
ZIP_0213,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.architecture.svg,image,.svg,2144
ZIP_0214,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.before_floorplan.svg,image,.svg,6406
ZIP_0215,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.complete.gds,gds,.gds,473194
ZIP_0216,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.debug.gds,gds,.gds,478766
ZIP_0217,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.gds,gds,.gds,350890
ZIP_0218,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.integration.gds,gds,.gds,166376
ZIP_0219,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.layout.json,json,.json,1627111
ZIP_0220,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.lef,design_artifact,.lef,11786
ZIP_0221,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,6419
ZIP_0222,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.moved_module_arrows.svg,image,.svg,6672
ZIP_0223,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.occupancy.svg,image,.svg,5878
ZIP_0224,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.presentation.gds,gds,.gds,341284
ZIP_0225,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.report.json,json,.json,1658513
ZIP_0226,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.report.md,text_report,.md,52865
ZIP_0227,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.route_guides.gds,gds,.gds,473194
ZIP_0228,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.sp,design_artifact,.sp,46726
ZIP_0229,full_layout_collection/sram_32x16_wpr1/sram_32x16_wpr1_fd45.two_zone_repacking.svg,image,.svg,6671
ZIP_0230,full_layout_collection/sram_32x32_wpr1/.run.log,text_report,.log,4009886
ZIP_0231,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,7453
ZIP_0232,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.after_floorplan.svg,image,.svg,6426
ZIP_0233,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.architecture.gds,gds,.gds,444930
ZIP_0234,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.architecture.svg,image,.svg,2148
ZIP_0235,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.before_floorplan.svg,image,.svg,6427
ZIP_0236,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.complete.gds,gds,.gds,567870
ZIP_0237,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.debug.gds,gds,.gds,573442
ZIP_0238,full_layout_collection/sram_32x32_wpr1/sram_32x32_wpr1_fd45.gds,gds,.gds,439358
