logical_net,route_group,physical_component,status,route_length
WL[7],WL,WL[7],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[7],DECODER_TO_WL_DRIVER,WL_DEC[7],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[8],WL,WL[8],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[8],DECODER_TO_WL_DRIVER,WL_DEC[8],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[9],WL,WL[9],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[9],DECODER_TO_WL_DRIVER,WL_DEC[9],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[10],WL,WL[10],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[10],DECODER_TO_WL_DRIVER,WL_DEC[10],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[11],WL,WL[11],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[11],DECODER_TO_WL_DRIVER,WL_DEC[11],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[12],WL,WL[12],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[12],DECODER_TO_WL_DRIVER,WL_DEC[12],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[13],WL,WL[13],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[13],DECODER_TO_WL_DRIVER,WL_DEC[13],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
WL[14],WL,WL[14],CONNECTED_BY_TOP_ROUTE_GEOMETRY,4.84
WL_DEC[14],DECODER_TO_WL_DRIVER,WL_DEC[14],CONNECTED_BY_TOP_ROUTE_GEOMETRY,3.36
WL[15],WL,WL[15],CONNECTED_BY_TOP_ROUTE_GEOMETRY,1.94
WL_DEC[15],DECODER_TO_WL_DRIVER,WL_DEC[15],CONNECTED_BY_TOP_ROUTE_GEOMETRY,6.26
PRE,CONTROL,PRE,CONNECTED_BY_TOP_ROUTE_GEOMETRY,49.715
S_EN,CONTROL,S_EN,CONNECTED_BY_TOP_ROUTE_GEOMETRY,93.02
W_EN,CONTROL,W_EN,CONNECTED_BY_TOP_ROUTE_GEOMETRY,103.37
WL_EN,CONTROL,WL_EN,CONNECTED_BY_TOP_ROUTE_GEOMETRY,51.0
DIN[0],DIN_DOUT,DIN[0],CONNECTED_BY_TOP_ROUTE_GEOMETRY,41.63
