instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
lower_wordline_stage_0/and2_en_3,AND2,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 29.02, ""rx"": 30.72, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_3,AND2,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 29.02, ""rx"": 30.72, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_5,AND3,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 30.83, ""rx"": 32.875, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_5,AND3,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 30.83, ""rx"": 32.875, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_5,AND2,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 32.985, ""rx"": 34.685, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_5,AND2,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 32.985, ""rx"": 34.685, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and3_pre_7,AND3,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 34.795, ""rx"": 36.84, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and3_pre_7,AND3,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 34.795, ""rx"": 36.84, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_0/and2_en_7,AND2,R0,VDD,m1,"{""by"": 14.2425, ""layer"": ""m1"", ""lx"": 36.95, ""rx"": 38.65, ""uy"": 14.3075}",via2_924,23,10,True,via2_924,"[""m1_4966"", ""m1_4969"", ""via1_4970"", ""m2_4971"", ""via1_4965"", ""m1_905"", ""via1_907"", ""m2_908"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_0/and2_en_7,AND2,R0,VSS,m1,"{""by"": 12.4225, ""layer"": ""m1"", ""lx"": 36.95, ""rx"": 38.65, ""uy"": 12.4875}",via2_954,24,10,True,via2_954,"[""m1_4977"", ""m1_4980"", ""via1_4981"", ""m2_4982"", ""via1_4976"", ""m1_935"", ""via1_937"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_1/inv_a0,PINV,R0,VDD,m1,"{""by"": 1.855, ""layer"": ""m1"", ""lx"": 22.9, ""rx"": 23.5875, ""uy"": 1.92}",via2_924,19,8,True,via2_924,"[""m1_8967"", ""m1_914"", ""via1_916"", ""m2_917"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
lower_wordline_stage_1/inv_a0,PINV,R0,VSS,m1,"{""by"": 0.035, ""layer"": ""m1"", ""lx"": 22.9, ""rx"": 23.5875, ""uy"": 0.1}",via2_954,20,8,True,via2_954,"[""m1_8978"", ""m1_944"", ""via1_946"", ""m2_938"", ""via2_941"", ""m3_933"", ""via2_932"", ""m2_929"", ""via1_928"", ""m1_926"", ""m1_966"", ""m1_234"", ""via1_223"", ""m2_224"", ""via2_226"", ""m3_228"", ""via2_230"", ""m2_231"", ""via1_233"", ""m1_5""]"
lower_wordline_stage_1/inv_a1,PINV,R0,VDD,m1,"{""by"": 1.855, ""layer"": ""m1"", ""lx"": 23.6975, ""rx"": 24.385, ""uy"": 1.92}",via2_924,19,8,True,via2_924,"[""m1_8967"", ""m1_914"", ""via1_916"", ""m2_917"", ""via2_911"", ""m3_903"", ""via2_902"", ""m2_899"", ""via1_898"", ""m1_896"", ""m1_955"", ""via1_7"", ""m2_9"", ""via2_10"", ""m3_12"", ""via2_14"", ""m2_15"", ""via1_17"", ""m1_4""]"
