cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p[1],S,11,0,0.125,0.25,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p[1],D,11,0,0.34,0.25,contact_58,False,False,True,PTX_INTERNAL_TERMINAL,1,D|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,A,11,0,0.14,0.8425,contact_94,True,False,False,TOP_WRAPPER_CANONICAL,2,A
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,Z,11,0,0.4025,0.8425,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,2,D|G|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,VDD,11,0,0.481,1.82,contact_82,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VDD|vdd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,VSS,11,0,0.481,0.0,contact_88,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VSS|gnd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_core,PINV_NW270_PW810_L50_core[0],A,11,0,0.14,0.8425,contact_94,True,False,False,CORE_CANONICAL_DUPLICATE,2,A
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_core,PINV_NW270_PW810_L50_core[0],Z,11,0,0.4025,0.8425,contact_70,True,False,False,CORE_CANONICAL_DUPLICATE,2,D|G|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_core,PINV_NW270_PW810_L50_core[0],gnd,11,0,0.481,0.0,contact_88,False,True,False,CORE_ALIAS,1,S|VSS|gnd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_core,PINV_NW270_PW810_L50_core[0],vdd,11,0,0.481,1.82,contact_82,False,True,False,CORE_ALIAS,1,S|VDD|vdd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p[0],G,9,0,0.37,1.21,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p[0],S,11,0,0.615,1.4925,contact_82,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p[0],S,11,0,0.125,1.4925,contact_82,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_pmos_m2_w0_405_sm1_dm1_da_p[0],D,11,0,0.37,1.4925,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p[1],G,9,0,0.37,0.34,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p[1],S,11,0,0.615,0.1925,contact_88,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p[1],S,11,0,0.125,0.1925,contact_88,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VSS|gnd
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p,PINV_NW270_PW810_L50_core[0]/PINV_NW270_PW810_L50_nmos_m2_w0_135_sm1_dm1_da_p[1],D,11,0,0.37,0.1925,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,A,11,0,0.14,0.82,contact_94,True,False,False,TOP_WRAPPER_CANONICAL,2,A
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,Z,11,0,0.4025,0.82,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,2,D|G|Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,VDD,11,0,0.481,1.82,contact_82,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VDD|vdd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,VSS,11,0,0.481,0.0,contact_88,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VSS|gnd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_core,PINV_NW360_PW1080_L50_core[0],A,11,0,0.14,0.82,contact_94,True,False,False,CORE_CANONICAL_DUPLICATE,2,A
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_core,PINV_NW360_PW1080_L50_core[0],Z,11,0,0.4025,0.82,contact_70,True,False,False,CORE_CANONICAL_DUPLICATE,2,D|G|Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_core,PINV_NW360_PW1080_L50_core[0],gnd,11,0,0.481,0.0,contact_88,False,True,False,CORE_ALIAS,1,S|VSS|gnd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_core,PINV_NW360_PW1080_L50_core[0],vdd,11,0,0.481,1.82,contact_82,False,True,False,CORE_ALIAS,1,S|VDD|vdd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p,PINV_NW360_PW1080_L50_core[0]/PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p[0],G,9,0,0.37,1.075,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p,PINV_NW360_PW1080_L50_core[0]/PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p[0],S,11,0,0.615,1.425,contact_82,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p,PINV_NW360_PW1080_L50_core[0]/PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p[0],S,11,0,0.125,1.425,contact_82,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p,PINV_NW360_PW1080_L50_core[0]/PINV_NW360_PW1080_L50_pmos_m2_w0_540_sm1_dm1_da_p[0],D,11,0,0.37,1.425,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50_nmos_m2_w0_180_sm1_dm1_da_p,PINV_NW360_PW1080_L50_core[0]/PINV_NW360_PW1080_L50_nmos_m2_w0_180_sm1_dm1_da_p[1],G,9,0,0.37,0.385,contact_70,False,False,True,PTX_INTERNAL_TERMINAL,1,D|G|Z
