power_shape_id,net_name,power_group,gds_layer,gds_datatype,shape_type,shape_bbox,shape_center,source_report,is_real_power_shape,is_guide_geometry,is_placeholder_overlay,verified_in_gds
POWER_SHAPE_0041,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 19.74, 'y0': 21.49, 'x1': 22.28125, 'y1': 26.9199, 'width': 2.54125, 'height': 5.4299}","{'x': 21.010625, 'y': 24.20495}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0042,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 19.74, 'y0': 21.2101, 'x1': 22.10875, 'y1': 23.5395, 'width': 2.36875, 'height': 2.3294}","{'x': 20.924375, 'y': 22.3748}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0043,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 6.831, 'y0': 5.7895, 'x1': 30.195, 'y1': 11.83425, 'width': 23.364, 'height': 6.04475}","{'x': 18.513, 'y': 8.811875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0044,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 6.831, 'y0': 4.425, 'x1': 30.195, 'y1': 4.59075, 'width': 23.364, 'height': 0.16575}","{'x': 18.513, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0045,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 14.436, 'y0': 6.8945, 'x1': 30.195, 'y1': 11.83425, 'width': 15.759, 'height': 4.93975}","{'x': 22.3155, 'y': 9.364375}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0046,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 14.436, 'y0': 4.425, 'x1': 30.195, 'y1': 4.59075, 'width': 15.759, 'height': 0.16575}","{'x': 22.3155, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0047,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 19.255, 'y0': 5.6145, 'x1': 30.195, 'y1': 11.83425, 'width': 10.94, 'height': 6.21975}","{'x': 24.725, 'y': 8.724375}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0048,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 19.226, 'y0': 4.425, 'x1': 30.195, 'y1': 4.59075, 'width': 10.969, 'height': 0.16575}","{'x': 24.7105, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0049,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 24.98, 'y0': 8.2275, 'x1': 30.195, 'y1': 11.83425, 'width': 5.215, 'height': 3.60675}","{'x': 27.5875, 'y': 10.030875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0050,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 25.332, 'y0': 4.59075, 'x1': 30.195, 'y1': 10.1195, 'width': 4.863, 'height': 5.52875}","{'x': 27.7635, 'y': 7.355125}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0051,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 29.7225, 'y0': 4.8545, 'x1': 30.195, 'y1': 11.83425, 'width': 0.4725, 'height': 6.97975}","{'x': 29.95875, 'y': 8.344375}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0052,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 29.8935, 'y0': 4.425, 'x1': 30.195, 'y1': 4.59075, 'width': 0.3015, 'height': 0.16575}","{'x': 30.04425, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0053,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 30.095, 'y0': 5.7895, 'x1': 33.156, 'y1': 11.83425, 'width': 3.061, 'height': 6.04475}","{'x': 31.6255, 'y': 8.811875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0054,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 30.095, 'y0': 4.425, 'x1': 33.156, 'y1': 4.59075, 'width': 3.061, 'height': 0.16575}","{'x': 31.6255, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0055,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 30.095, 'y0': 5.7895, 'x1': 38.5235, 'y1': 11.83425, 'width': 8.4285, 'height': 6.04475}","{'x': 34.30925, 'y': 8.811875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0056,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 30.095, 'y0': 4.425, 'x1': 38.5235, 'y1': 4.59075, 'width': 8.4285, 'height': 0.16575}","{'x': 34.30925, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0057,VDD,MODULE_STITCH,41,0,MODULE_VDD_STITCH,"{'x0': 30.095, 'y0': 6.895, 'x1': 43.7425, 'y1': 11.83425, 'width': 13.6475, 'height': 4.93925}","{'x': 36.91875, 'y': 9.364625}",MODULE_STITCH,True,False,False,True
POWER_SHAPE_0058,GND,MODULE_STITCH,42,0,MODULE_GND_STITCH,"{'x0': 30.095, 'y0': 4.425, 'x1': 43.7925, 'y1': 4.59075, 'width': 13.6975, 'height': 0.16575}","{'x': 36.94375, 'y': 4.507875}",MODULE_STITCH,True,False,False,True
