parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition,declaration_status,active_in_default_environment,condition_evaluation_status
TIME,'inv_wl_en_bar',PINV,1,VSS,VSS,VSS,655,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_wl_en_bar',PINV,2,A,wl_en,wl_en,655,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_wl_en_bar',PINV,3,Z,wl_en_bar,wl_en_bar,655,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'delaychain',delay_chain,0,VDD,VDD,VDD,662,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'delaychain',delay_chain,1,VSS,VSS,VSS,662,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'delaychain',delay_chain,2,in,rbl,rbl,662,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'delaychain',delay_chain,3,out,rbl_delay,rbl_delay,662,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_rbl_delay_bar',PINV,0,VDD,VDD,VDD,674,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_rbl_delay_bar',PINV,1,VSS,VSS,VSS,674,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_rbl_delay_bar',PINV,2,A,rbl_delay,rbl_delay,674,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'inv_rbl_delay_bar',PINV,3,Z,rbl_delay_bar,rbl_delay_bar,674,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
TIME,'wen_delaychain',wen_delay_chain,0,VDD,VDD,VDD,683,,operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'wen_delaychain',wen_delay_chain,1,VSS,VSS,VSS,683,,operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
TIME,'wen_delaychain',wen_delay_chain,2,in,rbl_delay_bar,rbl_delay_bar,683,,operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),DECLARED_IN_SOURCE,False,INACTIVE_FOR_CONFIG
