parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
TIME,554,,'dff_buf_data',DATA_DFF,4,DIN1,DIN1,DIN1,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,5,DIN2,DIN2,DIN2,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,6,DIN3,DIN3,DIN3,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,7,DIN4,DIN4,DIN4,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,8,DIN5,DIN5,DIN5,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,9,DIN6,DIN6,DIN6,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,10,DIN7,DIN7,DIN7,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,11,DIN_dff0,DIN8,DIN8,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,12,DIN_dff1,DIN9,DIN9,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,13,DIN_dff2,DIN10,DIN10,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,554,,'dff_buf_data',DATA_DFF,14,DIN_dff3,DIN11,DIN11,operation == 'write' or operation == 'read&write',True,ACTIVE_FOR_CONFIG,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
