instance_id,parent_module,instance_name,instance_type,module_name,pin_count,nets,source_trace
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_0,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_0,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL0', 'BLB0', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_1,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_1,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL1', 'BLB1', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_2,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_2,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL2', 'BLB2', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_3,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_3,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL3', 'BLB3', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_4,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_4,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL4', 'BLB4', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_5,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_5,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL5', 'BLB5', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_6,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_6,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL6', 'BLB6', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_7,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_7,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL7', 'BLB7', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_8,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_8,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL8', 'BLB8', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_9,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_9,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL9', 'BLB9', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_10,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_10,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL10', 'BLB10', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_11,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_11,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL11', 'BLB11', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_12,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_12,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL12', 'BLB12', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_13,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_13,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL13', 'BLB13', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
