module_name,physical_role,pin_name,pin_category,net_category,pin_status,suggested_access_edge,suggested_access_direction,source_layer,synthesis_rule
replica_array,ARRAY_REPLICA,BR[3],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
replica_array,ARRAY_REPLICA,RBL,CONTROL,CONTROL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,vertical_column_access,13,C2_REPLICA_ARRAY_RBL_EDGE_ACCESS
replica_array,ARRAY_REPLICA,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
replica_array,ARRAY_REPLICA,WL[0],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,WL[1],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,WL[2],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
replica_array,ARRAY_REPLICA,WL[3],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
row_decoder,ROW_DECODER,A[0],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
row_decoder,ROW_DECODER,A[1],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
row_decoder,ROW_DECODER,A[2],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
row_decoder,ROW_DECODER,A[3],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
row_decoder,ROW_DECODER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
row_decoder,ROW_DECODER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
row_decoder,ROW_DECODER,dec_out[0],WORDLINE,WORDLINE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
row_decoder,ROW_DECODER,enable,SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,top,north_edge_access,11,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,A[0],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,A[1],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,A[2],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,A[3],ADDRESS,ADDRESS,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,left,west_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,DEC_WL[0],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,DEC_WL[1],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,DEC_WL[2],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,DEC_WL[3],SIGNAL,SIGNAL,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,right,east_edge_access,13,C2_EDGE_ACCESS_NEAREST_BOUNDARY
wordline_decoder,ROW_DECODER,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
wordline_decoder,ROW_DECODER,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
