module_name,source_file,source_line,source_loop_context,instance_name_expression,instance_name_template,child_constructor_alias,child_source_class,child_logical_module,child_pin_order,parent_net_connections,pin_count,connection_count,pin_connection_count_match,parameter_expression,topology_resolution_status,branch_condition,method_name
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,662,,'delaychain','delaychain',delaychain,DelayChain,delay_chain,"['VDD', 'VSS', 'in', 'out']","['VDD', 'VSS', 'rbl', 'rbl_delay']",4,4,True,{},SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,674,,'inv_rbl_delay_bar','inv_rbl_delay_bar',inv_rbl_delay_bar,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'rbl_delay', 'rbl_delay_bar']",4,4,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'nmos_width': '9e-08', 'pmos_width': '2.7e-07', 'length': '5e-08'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,683,,'wen_delaychain','wen_delaychain',wen_delaychain,WenDelayChain,wen_delay_chain,"['VDD', 'VSS', 'in', 'out']","['VDD', 'VSS', 'rbl_delay_bar', 'rbl_delay_bar_wen']",4,4,True,"{'stages': '6', 'loads_per_stage': '4', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,operation == 'write' and self.num_rows == 16 and (self.num_cols == 512),__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,702,,'w_en','w_en',w_en,AND3,AND3,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","['VDD', 'VSS', 'rbl_delay_bar', 'gated_clk_bar', 'we', 'w_en']",6,6,True,"{'nmos_model_nand': ""'NMOS_VTG'"", 'pmos_model_nand': ""'PMOS_VTG'"", 'nmos_model_inv': ""'NMOS_VTG'"", 'pmos_model_inv': ""'PMOS_VTG'"", 'nand_pmos_width': '2.7e-07', 'nand_nmos_width': '1.8e-07', 'inv_pmos_width': '1.08e-06 * w_en_scale', 'inv_nmos_width': '3.6e-07 * w_en_scale', 'length': '5e-08', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,718,,'s_en','s_en',s_en,AND3,AND3,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","['VDD', 'VSS', 'rbl_delay', 'gated_clk_bar', 'we_bar', 's_en']",6,6,True,"{'nmos_model_nand': ""'NMOS_VTG'"", 'pmos_model_nand': ""'PMOS_VTG'"", 'nmos_model_inv': ""'NMOS_VTG'"", 'pmos_model_inv': ""'PMOS_VTG'"", 'nand_pmos_width': '2.7e-07', 'nand_nmos_width': '1.8e-07', 'inv_pmos_width': '1.08e-06 * w_en_scale', 'inv_nmos_width': '3.6e-07 * w_en_scale', 'length': '5e-08', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,743,,'pre_unbuf','pre_unbuf',pre_unbuf,PNAND3,PNAND3,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","['VDD', 'VSS', 'gated_clk_buf', 'rbl_delay', 'wl_en_bar', 'PRE_UNBUF']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'"", 'nmos_width': '2.7e-07', 'pmos_width': '2.7e-07', 'length': '5e-08', 'w_rc': 'w_rc'}",SOURCE_EXACT_RESOLVED,,__init__
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,754,,'pre','pre',pre,pdrive2_for_pre,pdrive2_for_pre,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'PRE_UNBUF', 'PRE']",4,4,True,{'drive_scale': 'pre_drive_scale'},SOURCE_EXACT_RESOLVED,,__init__
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,333,,'dinv0','dinv0',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'in', 'dout_1']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,337,j in range(4),f'dload_0_{j}',f'dload_0_{j}',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'dout_1', 'n_0_0']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,343,"i in range(1, 8)",f'dinv{i}',f'dinv{i}',self.inv,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'dout_1', 'dout_2']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|9e-08|2.7e-07'}",SOURCE_EXACT_RESOLVED,,add_delay_chain
